Temp,Humidity,MQ2,MQ3,MQ7,Pollution_Level
28.1,45.0,150,180,130,Low
29.5,52.0,180,190,160,Low
30.2,60.2,210,250,170,Moderate
30.8,63.5,220,240,190,Moderate
31.0,61.0,280,300,260,High
31.5,55.8,350,370,290,High
27.8,50.1,140,160,120,Low
29.0,58.0,200,210,150,Moderate
32.0,64.5,310,330,275,High
30.0,59.5,240,260,200,Moderate
28.1,45.0,150,180,130,Low
29.5,52.0,180,190,160,Low
30.2,60.2,210,250,170,Moderate
30.8,63.5,220,240,190,Moderate
31.0,61.0,280,300,260,High
31.5,55.8,350,370,290,High
27.8,50.1,140,160,120,Low
29.0,58.0,200,210,150,Moderate
32.0,64.5,310,330,275,High
30.0,59.5,240,260,200,Moderate
28.1,45.0,150,180,130,Low
29.5,52.0,180,190,160,Low
30.2,60.2,210,250,170,Moderate
30.8,63.5,220,240,190,Moderate
31.0,61.0,280,300,260,High
31.5,55.8,350,370,290,High
27.8,50.1,140,160,120,Low
29.0,58.0,200,210,150,Moderate
32.0,64.5,310,330,275,High
30.0,59.5,240,260,200,Moderate
28.1,45.0,150,180,130,Low
29.5,52.0,180,190,160,Low
30.2,60.2,210,250,170,Moderate
30.8,63.5,220,240,190,Moderate
31.0,61.0,280,300,260,High
31.5,55.8,350,370,290,High
27.8,50.1,140,160,120,Low
29.0,58.0,200,210,150,Moderate
32.0,64.5,310,330,275,High
30.0,59.5,240,260,200,Moderate
28.1,45.0,150,180,130,Low
29.5,52.0,180,190,160,Low
30.2,60.2,210,250,170,Moderate
30.8,63.5,220,240,190,Moderate
31.0,61.0,280,300,260,High
31.5,55.8,350,370,290,High
27.8,50.1,140,160,120,Low
29.0,58.0,200,210,150,Moderate
32.0,64.5,310,330,275,High
30.0,59.5,240,260,200,Moderate
28.1,45.0,150,180,130,Low
29.5,52.0,180,190,160,Low
30.2,60.2,210,250,170,Moderate
30.8,63.5,220,240,190,Moderate
31.0,61.0,280,300,260,High
31.5,55.8,350,370,290,High
27.8,50.1,140,160,120,Low
29.0,58.0,200,210,150,Moderate
32.0,64.5,310,330,275,High
30.0,59.5,240,260,200,Moderate
28.1,45.0,150,180,130,Low
29.5,52.0,180,190,160,Low
30.2,60.2,210,250,170,Moderate
30.8,63.5,220,240,190,Moderate
31.0,61.0,280,300,260,High
31.5,55.8,350,370,290,High
27.8,50.1,140,160,120,Low
29.0,58.0,200,210,150,Moderate
32.0,64.5,310,330,275,High
30.0,59.5,240,260,200,Moderate
28.1,45.0,150,180,130,Low
29.5,52.0,180,190,160,Low
30.2,60.2,210,250,170,Moderate
30.8,63.5,220,240,190,Moderate
31.0,61.0,280,300,260,High
31.5,55.8,350,370,290,High
27.8,50.1,140,160,120,Low
29.0,58.0,200,210,150,Moderate
32.0,64.5,310,330,275,High
30.0,59.5,240,260,200,Moderate
28.1,45.0,150,180,130,Low
29.5,52.0,180,190,160,Low
30.2,60.2,210,250,170,Moderate
30.8,63.5,220,240,190,Moderate
31.0,61.0,280,300,260,High
31.5,55.8,350,370,290,High
27.8,50.1,140,160,120,Low
29.0,58.0,200,210,150,Moderate
32.0,64.5,310,330,275,High
30.0,59.5,240,260,200,Moderate
28.1,45.0,150,180,130,Low
29.5,52.0,180,190,160,Low
30.2,60.2,210,250,170,Moderate
30.8,63.5,220,240,190,Moderate
31.0,61.0,280,300,260,High
31.5,55.8,350,370,290,High
27.8,50.1,140,160,120,Low
29.0,58.0,200,210,150,Moderate
32.0,64.5,310,330,275,High
30.0,59.5,240,260,200,Moderate
28.1,45.0,150,180,130,Low
29.5,52.0,180,190,160,Low
30.2,60.2,210,250,170,Moderate
30.8,63.5,220,240,190,Moderate
31.0,61.0,280,300,260,High
31.5,55.8,350,370,290,High
27.8,50.1,140,160,120,Low
29.0,58.0,200,210,150,Moderate
32.0,64.5,310,330,275,High
30.0,59.5,240,260,200,Moderate
