Temp,Humidity,MQ2,MQ3,MQ7,Pollution_Level
31.0,40.8,241,192,120,Low
29.7,50.8,254,211,170,Moderate
31.3,51.6,285,302,200,Moderate
33.0,47.0,283,293,202,Moderate
29.5,53.4,137,249,177,Low
29.5,59.0,164,258,231,Moderate
33.2,73.9,251,339,147,Moderate
31.5,56.7,251,209,193,Moderate
29.1,57.6,251,288,206,Moderate
31.1,54.3,451,236,226,Moderate
29.1,35.8,254,235,236,Moderate
29.1,54.7,288,327,144,Moderate
30.5,55.6,277,308,123,Moderate
26.2,79.6,259,307,264,Moderate
26.6,53.1,201,341,217,Moderate
28.9,58.0,266,251,163,Moderate
28.0,54.7,174,298,278,Moderate
30.6,43.3,206,228,206,Moderate
28.2,66.4,191,273,259,Moderate
27.2,62.5,225,241,203,Moderate
32.9,62.9,359,257,303,Moderate
29.5,45.9,108,292,288,Moderate
30.1,69.0,261,193,188,Moderate
27.2,41.0,123,396,249,Moderate
28.9,60.9,192,180,232,Moderate
30.2,76.9,285,165,268,Moderate
27.7,45.1,224,331,152,Moderate
30.8,49.3,155,305,234,Moderate
28.8,56.0,177,294,253,Moderate
29.4,50.0,261,294,112,Moderate
28.8,39.5,176,249,141,Low
33.7,55.7,233,187,100,Low
30.0,44.4,223,255,187,Moderate
27.9,59.7,181,203,236,Moderate
31.6,45.8,349,318,275,Moderate
27.6,70.5,258,240,204,Moderate
30.4,47.2,100,192,281,Low
26.1,51.8,231,228,131,Low
27.3,63.1,180,279,115,Low
30.4,42.7,271,211,197,Moderate
31.5,57.3,172,192,219,Low
30.3,68.1,213,267,198,Moderate
29.8,38.9,250,267,100,Moderate
29.4,56.8,272,215,196,Moderate
27.0,57.6,148,217,135,Low
28.6,62.8,200,266,233,Moderate
29.1,42.6,192,149,218,Low
32.1,41.8,181,151,153,Low
30.7,60.2,326,200,174,Moderate
26.5,58.0,244,235,147,Moderate
30.6,57.5,144,272,197,Moderate
29.2,58.5,275,353,248,Moderate
28.6,48.2,347,310,151,Moderate
31.2,57.3,282,239,225,Moderate
32.1,57.9,129,249,173,Low
31.9,47.9,191,180,160,Low
28.3,73.7,296,249,195,Moderate
29.4,59.7,178,230,148,Low
30.7,43.1,247,273,172,Moderate
32.0,61.6,266,192,140,Low
29.0,45.3,164,286,298,Moderate
29.6,62.9,216,357,202,Moderate
27.8,66.6,100,242,165,Low
27.6,46.8,159,278,211,Moderate
31.6,64.6,205,298,194,Moderate
32.7,59.1,145,222,189,Low
29.9,63.2,318,266,231,Moderate
32.0,74.0,134,251,238,Moderate
30.7,52.5,194,257,173,Moderate
28.7,47.5,228,196,171,Low
30.7,46.1,306,252,186,Moderate
33.1,46.8,134,285,100,Low
29.9,54.2,290,352,124,Moderate
33.1,58.4,221,317,268,Moderate
24.8,57.8,161,401,282,Moderate
31.6,63.3,248,196,188,Moderate
30.2,55.1,232,311,229,Moderate
29.4,69.5,184,263,216,Moderate
30.2,52.4,224,403,354,Moderate
26.0,82.2,197,193,256,Moderate
29.6,61.3,227,191,194,Moderate
30.7,46.4,260,208,152,Moderate
33.0,44.3,315,101,120,Low
29.0,59.8,146,213,210,Low
28.4,52.8,348,197,162,Moderate
29.0,62.1,103,261,129,Low
31.8,59.7,211,274,168,Moderate
30.7,54.3,255,381,146,Moderate
28.9,46.5,237,317,284,Moderate
31.0,39.9,183,210,244,Moderate
30.2,50.5,208,187,200,Low
31.9,63.6,190,284,274,Moderate
28.6,57.1,185,158,204,Low
29.3,42.5,271,378,157,Moderate
29.2,56.7,241,333,276,Moderate
27.1,58.9,178,217,227,Moderate
30.6,46.2,274,130,148,Low
30.5,56.5,238,345,190,Moderate
30.0,55.6,269,242,156,Moderate
29.5,43.6,258,337,131,Moderate
